departure_time,trip_id,stop_id,route_id,service_id,trip_headsign,route_long_name
13:35,11_365_20251001,5,3_30092_1_20251001,5,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
13:35,3_1688_20251001,6,25_25051_2_20251001,7,甲佐,M5-1：桜町バスターミナル→田迎→イオン→乙女→甲佐
13:40,2_418_20251001,5,3_3044_1_20251001,6,桜町バスターミナル,M3-1：甲佐→御船→イオン→田迎→桜町バスターミナル
13:40,11_367_20251001,6,3_30091_2_20251001,5,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
13:40,1_1544_20251001,6,3_30091_2_20251001,8,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
13:41,7_311000423_20251001,3,4020_4142_2_20251001,7,長溝団地,P3-1：桜町バスターミナル→新市街→南熊本駅→長溝団地
13:45,2_684_20251001,5,3_30092_1_20251001,6,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
13:45,1_111000547_20251001,2,4020_4141_1_20251001,0,桜町バスターミナル,P3-1：長溝団地→南熊本駅→新市街→桜町バスターミナル
13:45,2_704_20251001,6,15_15041_2_20251001,6,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
13:47,1_1525_20251001,5,15_15042_1_20251001,8,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
13:47,3_1755_20251001,2,38_38211_2_20251001,7,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
13:47,11_348_20251001,5,15_15042_1_20251001,5,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
13:50,3_1782_20251001,6,3_30091_2_20251001,7,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
13:50,1_1537_20251001,6,15_15041_2_20251001,8,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
13:50,11_360_20251001,6,15_15041_2_20251001,5,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
13:53,1_111001562_20251001,2,4022_2312_2_20251001,0,桜町バスターミナル,P2-1：野越団地→済生会病院→平成町→下通筋→桜町バスターミナル
13:55,2_504_20251001,5,25_25052_1_20251001,6,桜町バスターミナル,M5-1：甲佐→乙女→イオン→田迎→桜町バスターミナル
13:58,11_52_20251001,5,3_3044_1_20251001,5,桜町バスターミナル,M3-1：甲佐→御船→イオン→田迎→桜町バスターミナル
13:58,1_1232_20251001,5,3_3044_1_20251001,8,桜町バスターミナル,M3-1：甲佐→御船→イオン→田迎→桜町バスターミナル
13:59,11_247_20251001,2,38_38211_2_20251001,5,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
13:59,1_1425_20251001,2,38_38211_2_20251001,8,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
14:00,2_692_20251001,6,3_30121_2_20251001,6,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
14:00,1_1212_20251001,6,3_30121_2_20251001,8,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
14:00,3_1630_20251001,6,15_15041_2_20251001,7,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
14:00,11_31_20251001,6,3_30121_2_20251001,5,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
14:01,2_617_20251001,1,38_38442_1_20251001,6,桜町バスターミナル,P2-5：御幸木部→御幸病院→大学病院構内→桜町バスターミナル
14:01,1_1433_20251001,1,38_38442_1_20251001,8,桜町バスターミナル,P2-5：御幸木部→御幸病院→大学病院構内→桜町バスターミナル
14:01,3_1761_20251001,1,38_38442_1_20251001,7,桜町バスターミナル,P2-5：御幸木部→御幸病院→大学病院構内→桜町バスターミナル
14:01,3_1622_20251001,5,15_15042_1_20251001,7,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
14:01,11_255_20251001,1,38_38442_1_20251001,5,桜町バスターミナル,P2-5：御幸木部→御幸病院→大学病院構内→桜町バスターミナル
14:03,7_311001139_20251001,3,4022_2311_1_20251001,7,野越団地,P2-1：桜町バスターミナル→下通筋→平成町→済生会病院→野越団地
14:07,2_697_20251001,5,15_15042_1_20251001,6,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
14:08,7_311000396_20251001,2,4020_4141_1_20251001,7,桜町バスターミナル,P3-1：長溝団地→南熊本駅→新市街→桜町バスターミナル
14:08,1_111001578_20251001,3,4022_2311_1_20251001,0,野越団地,P2-1：桜町バスターミナル→下通筋→平成町→済生会病院→野越団地
14:10,2_685_20251001,6,3_30091_2_20251001,6,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
14:13,1_1522_20251001,6,3_30091_2_20251001,8,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
14:13,11_345_20251001,6,3_30091_2_20251001,5,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
14:14,3_1577_20251001,5,2_2062_1_20251001,7,桜町バスターミナル,M4-1：甲佐→辺場→イオン→田迎→桜町バスターミナル
14:16,1_111000533_20251001,3,4020_4142_2_20251001,0,長溝団地,P3-1：桜町バスターミナル→新市街→南熊本駅→長溝団地
14:16,1_111000501_20251001,3,4007_3651_1_20251001,0,県立劇場前,O4-1：熊本駅→南熊本駅→県立劇場
14:17,1_1529_20251001,5,3_30092_1_20251001,8,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
14:17,11_352_20251001,5,3_30092_1_20251001,5,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
14:18,1_111000679_20251001,2,4021_4521_1_20251001,0,桜町バスターミナル,L0-0：桜町バスターミナル→画図道→南熊本駅→下通筋→桜町バスターミナル
14:20,3_1583_20251001,6,2_2061_2_20251001,7,甲佐,M4-1：桜町バスターミナル→田迎→イオン→辺場→甲佐
14:20,2_406_20251001,5,2_2062_1_20251001,6,桜町バスターミナル,M4-1：甲佐→辺場→イオン→田迎→桜町バスターミナル
14:21,11_22_20251001,6,2_2421_2_20251001,5,浜町,M4-3：桜町バスターミナル→田迎→イオン→辺場→内大臣→浜町
14:21,1_1203_20251001,6,2_2421_2_20251001,8,浜町,M4-3：桜町バスターミナル→田迎→イオン→辺場→内大臣→浜町
14:22,2_622_20251001,2,38_38211_2_20251001,6,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
14:22,3_1764_20251001,2,38_38211_2_20251001,7,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
14:25,2_443_20251001,6,3_30121_2_20251001,6,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
14:25,1_1324_20251001,5,25_25052_1_20251001,8,桜町バスターミナル,M5-1：甲佐→乙女→イオン→田迎→桜町バスターミナル
14:25,11_146_20251001,5,25_25052_1_20251001,5,桜町バスターミナル,M5-1：甲佐→乙女→イオン→田迎→桜町バスターミナル
14:30,1_1214_20251001,6,3_3043_2_20251001,8,甲佐,M3-1：桜町バスターミナル→田迎→イオン→御船→甲佐
14:30,11_33_20251001,6,3_3043_2_20251001,5,甲佐,M3-1：桜町バスターミナル→田迎→イオン→御船→甲佐
14:30,1_1499_20251001,5,3_30092_1_20251001,8,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
14:30,11_322_20251001,5,3_30092_1_20251001,5,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
14:31,3_1827_20251001,5,3_30302_1_20251001,7,熊本駅前,M2-1：イオン→中車庫→田迎→桜町バスターミナル→熊本駅
14:32,1_111000654_20251001,3,4021_4531_1_20251001,0,桜町バスターミナル,P0-0：桜町バスターミナル→下通筋→南熊本駅→画図道→桜町バスターミナル
14:35,2_435_20251001,6,3_30091_2_20251001,6,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
14:35,3_1831_20251001,6,3_30091_2_20251001,7,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
14:40,11_343_20251001,6,15_15041_2_20251001,5,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
14:40,1_1520_20251001,6,15_15041_2_20251001,8,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
14:40,3_1842_20251001,5,3_30092_1_20251001,7,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
14:42,1_1441_20251001,5,15_18022_1_20251001,8,桜町バスターミナル,M6-4：志導寺→城南→イオン→田迎→桜町バスターミナル
14:42,11_264_20251001,5,15_18022_1_20251001,5,桜町バスターミナル,M6-4：志導寺→城南→イオン→田迎→桜町バスターミナル
14:43,2_702_20251001,5,15_15042_1_20251001,6,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
14:45,1_111000548_20251001,2,4020_4141_1_20251001,0,桜町バスターミナル,P3-1：長溝団地→南熊本駅→新市街→桜町バスターミナル
14:45,2_570_20251001,6,15_20021_2_20251001,6,段鶴,M6-6：桜町バスターミナル→田迎→イオン→城南→段鶴
14:46,7_311000503_20251001,2,4021_4521_1_20251001,7,桜町バスターミナル,L0-0：桜町バスターミナル→画図道→南熊本駅→下通筋→桜町バスターミナル
14:47,7_311000484_20251001,3,4021_4531_1_20251001,7,桜町バスターミナル,P0-0：桜町バスターミナル→下通筋→南熊本駅→画図道→桜町バスターミナル
14:48,7_311001131_20251001,2,4022_2312_2_20251001,7,桜町バスターミナル,P2-1：野越団地→済生会病院→平成町→下通筋→桜町バスターミナル
14:50,11_142_20251001,6,25_25051_2_20251001,5,甲佐,M5-1：桜町バスターミナル→田迎→イオン→乙女→甲佐
14:50,1_1320_20251001,6,25_25051_2_20251001,8,甲佐,M5-1：桜町バスターミナル→田迎→イオン→乙女→甲佐
14:50,3_1765_20251001,6,3_30121_2_20251001,7,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
14:51,1_1531_20251001,5,2_2062_1_20251001,8,桜町バスターミナル,M4-1：甲佐→辺場→イオン→田迎→桜町バスターミナル
14:51,11_354_20251001,5,2_2062_1_20251001,5,桜町バスターミナル,M4-1：甲佐→辺場→イオン→田迎→桜町バスターミナル
14:52,1_1474_20251001,1,38_38332_1_20251001,8,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
14:52,11_297_20251001,1,38_38332_1_20251001,5,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
14:53,1_111001563_20251001,2,4022_2312_2_20251001,0,桜町バスターミナル,P2-1：野越団地→済生会病院→平成町→下通筋→桜町バスターミナル
14:54,1_111000499_20251001,2,4007_3652_2_20251001,0,熊本駅前,O3-1：県立劇場→南熊本駅→熊本駅
14:55,3_1567_20251001,6,1_1313_2_20251001,7,通潤山荘,M3-2：桜町バスターミナル→田迎→イオン→通潤山荘
14:55,11_248_20251001,2,38_38211_2_20251001,5,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
14:55,1_1426_20251001,2,38_38211_2_20251001,8,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
14:55,2_434_20251001,6,3_30091_2_20251001,6,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
14:56,3_1775_20251001,5,15_18022_1_20251001,7,桜町バスターミナル,M6-4：志導寺→城南→イオン→田迎→桜町バスターミナル
14:57,2_661_20251001,1,38_38332_1_20251001,6,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
14:57,2_623_20251001,2,38_38211_2_20251001,6,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
14:57,3_1756_20251001,2,38_38211_2_20251001,7,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
15:00,11_331_20251001,5,3_30122_1_20251001,5,桜町バスターミナル,M2-1：イオン→中の瀬車庫→田迎→桜町バスターミナル
15:00,1_1508_20251001,5,3_30122_1_20251001,8,桜町バスターミナル,M2-1：イオン→中の瀬車庫→田迎→桜町バスターミナル
15:00,1_1498_20251001,6,3_30121_2_20251001,8,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
15:00,11_321_20251001,6,3_30121_2_20251001,5,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
15:01,3_1763_20251001,1,38_38442_1_20251001,7,桜町バスターミナル,P2-5：御幸木部→御幸病院→大学病院構内→桜町バスターミナル
15:03,7_311001140_20251001,3,4022_2311_1_20251001,7,野越団地,P2-1：桜町バスターミナル→下通筋→平成町→済生会病院→野越団地
15:05,3_1772_20251001,6,15_18021_2_20251001,7,志導寺,M6-4：桜町バスターミナル→田迎→イオン→城南→志導寺
15:08,3_1818_20251001,5,3_30092_1_20251001,7,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:08,2_433_20251001,5,3_30092_1_20251001,6,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:08,1_111001579_20251001,3,4022_2311_1_20251001,0,野越団地,P2-1：桜町バスターミナル→下通筋→平成町→済生会病院→野越団地
15:15,11_11_20251001,5,1_1314_1_20251001,5,桜町バスターミナル,M3-2：通潤山荘→イオン→田迎→桜町バスターミナル
15:15,1_1192_20251001,5,1_1314_1_20251001,8,桜町バスターミナル,M3-2：通潤山荘→イオン→田迎→桜町バスターミナル
15:15,2_395_20251001,6,1_1313_2_20251001,6,通潤山荘,M3-2：桜町バスターミナル→田迎→イオン→通潤山荘
15:15,11_64_20251001,6,15_17021_2_20251001,5,松橋駅,M6-3：桜町バスターミナル→田迎→イオン→城南→松橋駅
15:15,1_1244_20251001,6,15_17021_2_20251001,8,松橋駅,M6-3：桜町バスターミナル→田迎→イオン→城南→松橋駅
15:16,1_111000534_20251001,3,4020_4142_2_20251001,0,長溝団地,P3-1：桜町バスターミナル→新市街→南熊本駅→長溝団地
15:18,1_111000681_20251001,2,4021_4521_1_20251001,0,桜町バスターミナル,L0-0：桜町バスターミナル→画図道→南熊本駅→下通筋→桜町バスターミナル
15:20,3_1839_20251001,5,3_30092_1_20251001,7,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:23,2_651_20251001,5,2_2322_1_20251001,6,桜町バスターミナル,M4-2：砥用→辺場→イオン→田迎→桜町バスターミナル
15:24,1_1532_20251001,5,3_30122_1_20251001,8,桜町バスターミナル,M2-1：イオン→中の瀬車庫→田迎→桜町バスターミナル
15:24,11_355_20251001,5,3_30122_1_20251001,5,桜町バスターミナル,M2-1：イオン→中の瀬車庫→田迎→桜町バスターミナル
15:25,3_1796_20251001,6,3_30121_2_20251001,7,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
15:25,1_1468_20251001,6,3_30091_2_20251001,8,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
15:25,11_291_20251001,6,3_30091_2_20251001,5,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
15:26,3_1563_20251001,5,1_1314_1_20251001,7,桜町バスターミナル,M3-2：通潤山荘→イオン→田迎→桜町バスターミナル
15:27,3_1792_20251001,1,38_38332_1_20251001,7,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
15:30,2_708_20251001,5,3_30092_1_20251001,6,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:30,2_444_20251001,6,3_30121_2_20251001,6,イオンモール熊本,M2-1：桜町バスターミナル→田迎→中の瀬車庫→イオン
15:32,1_111000656_20251001,3,4021_4531_1_20251001,0,桜町バスターミナル,P0-0：桜町バスターミナル→下通筋→南熊本駅→画図道→桜町バスターミナル
15:34,11_382_20251001,5,3_30092_1_20251001,5,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:34,1_1555_20251001,5,3_30092_1_20251001,8,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:35,3_1574_20251001,6,2_2321_2_20251001,7,砥用・学校前,M4-2：桜町バスターミナル→田迎→イオン→辺場→砥用
15:36,3_1768_20251001,5,3_30122_1_20251001,7,桜町バスターミナル,M2-1：イオン→中の瀬車庫→田迎→桜町バスターミナル
15:36,2_705_20251001,5,15_15042_1_20251001,6,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
15:40,2_587_20251001,6,2_2321_2_20251001,6,砥用・学校前,M4-2：桜町バスターミナル→田迎→イオン→辺場→砥用
15:41,1_1521_20251001,5,3_30092_1_20251001,8,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:41,11_344_20251001,5,3_30092_1_20251001,5,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:41,7_311000412_20251001,3,4020_4142_2_20251001,7,長溝団地,P3-1：桜町バスターミナル→新市街→南熊本駅→長溝団地
15:43,3_1822_20251001,5,3_30092_1_20251001,7,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:45,11_249_20251001,2,38_38211_2_20251001,5,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
15:45,3_1795_20251001,6,3_30091_2_20251001,7,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
15:45,1_111000520_20251001,2,4020_4141_1_20251001,0,桜町バスターミナル,P3-1：長溝団地→南熊本駅→新市街→桜町バスターミナル
15:45,1_1427_20251001,2,38_38211_2_20251001,8,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
15:47,1_1399_20251001,5,3_30302_1_20251001,8,熊本駅前,M2-1：イオン→中車庫→田迎→桜町バスターミナル→熊本駅
15:47,11_221_20251001,5,3_30302_1_20251001,5,熊本駅前,M2-1：イオン→中車庫→田迎→桜町バスターミナル→熊本駅
15:47,2_687_20251001,5,3_30092_1_20251001,6,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
15:48,7_311001132_20251001,2,4022_2312_2_20251001,7,桜町バスターミナル,P2-1：野越団地→済生会病院→平成町→下通筋→桜町バスターミナル
15:50,1_1245_20251001,6,15_19031_2_20251001,8,下安見,M6-5：桜町バスターミナル→田迎→イオン→城南→志導寺→下安見
15:50,11_66_20251001,6,15_19031_2_20251001,5,下安見,M6-5：桜町バスターミナル→田迎→イオン→城南→志導寺→下安見
15:51,11_23_20251001,5,2_2062_1_20251001,5,桜町バスターミナル,M4-1：甲佐→辺場→イオン→田迎→桜町バスターミナル
15:51,1_1204_20251001,5,2_2062_1_20251001,8,桜町バスターミナル,M4-1：甲佐→辺場→イオン→田迎→桜町バスターミナル
15:52,11_298_20251001,1,38_38332_1_20251001,5,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
15:52,1_1475_20251001,1,38_38332_1_20251001,8,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
15:53,1_111001564_20251001,2,4022_2312_2_20251001,0,桜町バスターミナル,P2-1：野越団地→済生会病院→平成町→下通筋→桜町バスターミナル
15:54,2_390_20251001,5,1_1314_1_20251001,6,桜町バスターミナル,M3-2：通潤山荘→イオン→田迎→桜町バスターミナル
15:55,2_571_20251001,6,15_17021_2_20251001,6,松橋駅,M6-3：桜町バスターミナル→田迎→イオン→城南→松橋駅
15:55,3_1595_20251001,6,3_3043_2_20251001,7,甲佐,M3-1：桜町バスターミナル→田迎→イオン→御船→甲佐
15:55,3_1623_20251001,5,15_15042_1_20251001,7,桜町バスターミナル,M6-1：城南→イオン→田迎→桜町バスターミナル
15:57,3_1757_20251001,2,38_38211_2_20251001,7,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
15:57,2_624_20251001,2,38_38211_2_20251001,6,御幸木部,P2-3：桜町バスターミナル→大学病院→御幸病院→御幸木部
15:57,3_1793_20251001,1,38_38332_1_20251001,7,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
15:57,2_662_20251001,1,38_38332_1_20251001,6,桜町バスターミナル,P2-4：御幸木部→大学病院構内→桜町バスターミナル
16:00,11_290_20251001,6,3_30091_2_20251001,5,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
16:00,1_1467_20251001,6,3_30091_2_20251001,8,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
16:00,3_1631_20251001,6,15_15041_2_20251001,7,城南,M6-1：桜町バスターミナル→田迎→イオン→城南
16:03,7_311001141_20251001,3,4022_2311_1_20251001,7,野越団地,P2-1：桜町バスターミナル→下通筋→平成町→済生会病院→野越団地
16:03,1_111001580_20251001,3,4022_2311_1_20251001,0,野越団地,P2-1：桜町バスターミナル→下通筋→平成町→済生会病院→野越団地
16:04,3_1830_20251001,5,3_30092_1_20251001,7,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
16:06,11_75_20251001,5,15_17022_1_20251001,5,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
16:06,1_1254_20251001,5,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
16:08,7_311000398_20251001,2,4020_4141_1_20251001,7,桜町バスターミナル,P3-1：長溝団地→南熊本駅→新市街→桜町バスターミナル
16:08,2_664_20251001,5,3_30092_1_20251001,6,桜町バスターミナル,M1-1：中の瀬車庫→田迎→桜町バスターミナル
16:10,1_1321_20251001,6,25_25051_2_20251001,8,甲佐,M5-1：桜町バスターミナル→田迎→イオン→乙女→甲佐
16:10,11_143_20251001,6,25_25051_2_20251001,5,甲佐,M5-1：桜町バスターミナル→田迎→イオン→乙女→甲佐
16:10,2_560_20251001,6,3_30091_2_20251001,6,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
16:10,3_1819_20251001,6,3_30091_2_20251001,7,中の瀬車庫,M1-1：桜町バスターミナル→田迎→中の瀬車庫
16:13,1_1231_20251001,5,3_3044_1_20251001,8,桜町バスターミナル,M3-1：甲佐→御船→イオン→田迎→桜町バスターミナル
